,doi,display_name_author_fr,display_name_author_fr_utf8
232,https://doi.org/10.1016/j.neurol.2023.08.017,A. Leblanc,a. leblanc
233,https://doi.org/10.1016/j.est.2024.112172,A. Lebon,a. lebon
234,https://doi.org/10.1016/j.dib.2023.109607,A. Lefèvre,a. lefevre
235,https://doi.org/10.1111/tid.14049,A. Lefort,a. lefort
236,https://doi.org/10.1002/cphc.202200295,A. Lemarchand,a. lemarchand
237,https://doi.org/10.1016/j.radonc.2024.110665,A. Lépinoy,a. lepinoy
238,https://doi.org/10.1016/j.nicl.2022.102964,A. Leroy,a. leroy
239,https://doi.org/10.1016/j.heliyon.2024.e40550,A. Liard,a. liard
240,https://doi.org/10.1016/j.revmed.2024.01.012,A. Lorléac’h,a. lorleach
241,https://doi.org/10.1016/j.annonc.2023.05.005,A. Lortholary,a. lortholary
242,https://doi.org/10.1016/j.nima.2024.169400,A. Luciol,a. luciol
243,https://doi.org/10.1002/ejic.202300188,A. Maisse-Francois,a. maisse-francois
244,https://doi.org/10.1016/j.chemosphere.2024.143314,A. Malherbe,a. malherbe
245,https://doi.org/10.1111/apa.17439,A. Maltezeanu,a. maltezeanu
246,https://doi.org/10.1002/anie.202218347,A. Mani,a. mani
247,https://doi.org/10.1016/j.pmedr.2023.102568,A. Manunta,a. manunta
248,https://doi.org/10.1016/j.actamat.2024.120331,A. Marchais,a. marchais
249,https://doi.org/10.1016/j.ekir.2022.12.007,A. Marchal,a. marchal
250,https://doi.org/10.1016/j.jhepr.2023.100719,A. Maria,a. maria
251,https://doi.org/10.1016/j.resmer.2024.101125,A. Mariet,a. mariet
252,https://doi.org/10.1016/j.jhin.2023.10.004,A. Martelin,a. martelin
253,https://doi.org/10.1002/adma.202304243,A. Marty,a. marty
254,https://doi.org/10.1016/j.annder.2022.07.001,A. Maruani,a. maruani
255,https://doi.org/10.1111/bju.16405,A. Masson-Lecomte,a. masson-lecomte
256,https://doi.org/10.1016/j.ijfatigue.2024.108192,A. Mathis,a. mathis
257,https://doi.org/10.1016/j.ejmg.2022.104643,A. Maues de Paula,a. maues de paula
258,https://doi.org/10.1016/j.revmed.2023.05.005,A. Mékinian,a. mekinian
259,https://doi.org/10.1002/bco2.477,A. Mellouki,a. mellouki
260,https://doi.org/10.1016/j.indcrop.2024.119907,A. Menuge,a. menuge
261,https://doi.org/10.1002/bco2.444,A. Messas,a. messas
262,https://doi.org/10.1016/j.jtherbio.2024.103996,A. Mezanger,a. mezanger
263,https://doi.org/10.1016/j.animal.2022.100608,A. Michaud,a. michaud
264,https://doi.org/10.1016/j.dib.2023.109109,A. Michel,a. michel
265,https://doi.org/10.1016/j.ctro.2024.100892,A. Modesto,a. modesto
266,https://doi.org/10.1016/j.anplas.2024.07.014,A. Mojallal,a. mojallal
267,https://doi.org/10.1111/apa.16858,A. Mollet,a. mollet
268,https://doi.org/10.1016/j.ajic.2024.08.028,A. Morin-Le Bihan,a. morin-le bihan
269,https://doi.org/10.1002/bco2.477,A. Morrone,a. morrone
270,https://doi.org/10.1111/maps.14261,A. Musolino,a. musolino
271,https://doi.org/10.1016/j.ijplas.2024.103947,A. Naït-Ali,a. nait-ali
272,https://doi.org/10.1016/j.psj.2023.102613,A. Narcy,a. narcy
273,https://doi.org/10.1016/j.scr.2024.103437,A. Nasri,a. nasri
274,https://doi.org/10.1016/j.chest.2024.01.015,A. Néel,a. neel
275,https://doi.org/10.1002/clt2.12385,A. Nemni,a. nemni
276,https://doi.org/10.1016/j.dark.2024.101476,A. Nilsson,a. nilsson
277,https://doi.org/10.1016/j.apsusc.2024.160844,A. Nominé,a. nomine
278,https://doi.org/10.1111/jdv.20439,A. Nouchi,a. nouchi
279,https://doi.org/10.1002/adsc.202300052,A. Obeid,a. obeid
280,https://doi.org/10.1002/pbc.30615,A. Oudoux,a. oudoux
281,https://doi.org/10.1016/j.ijfatigue.2024.108192,A. Oudriss,a. oudriss
282,https://doi.org/10.1002/ps.8367,A. Palos-Pinto,a. palos-pinto
283,https://doi.org/10.1016/j.heliyon.2024.e38043,A. Pastissier,a. pastissier
284,https://doi.org/10.1016/j.agrformet.2024.109896,A. Pénarier,a. penarier
285,https://doi.org/10.1111/dom.16118,A. Penfornis,a. penfornis
286,https://doi.org/10.1111/brv.12955,A. Perrard,a. perrard
287,https://doi.org/10.1016/j.scr.2024.103437,A. Petit,a. petit
288,https://doi.org/10.1016/j.jallcom.2024.175918,A. Piarristeguy,a. piarristeguy
289,https://doi.org/10.1016/j.ejcon.2024.101059,A. Pierron,a. pierron
290,https://doi.org/10.1016/j.envint.2023.108248,A. Platel,a. platel
291,https://doi.org/10.1002/jvc2.582,A. Pogossian,a. pogossian
292,https://doi.org/10.1016/j.annder.2024.103332,A. Porquet,a. porquet
293,https://doi.org/10.1016/j.matdes.2023.112158,A. Portavoce,a. portavoce
294,https://doi.org/10.1016/j.jdcr.2024.07.040,A. Potereau,a. potereau
295,https://doi.org/10.1002/cctc.202300535,A. Pradel,a. pradel
296,https://doi.org/10.1016/j.rbmo.2024.104384,A. R. S. Coutinho,a. r. s. coutinho
297,https://doi.org/10.1002/smll.202404388,A. Ramdane,a. ramdane
298,https://doi.org/10.1016/j.ijhydene.2024.06.225,A. Ramirez,a. ramirez
299,https://doi.org/10.1016/j.animal.2024.101368,A. Rebeaud,a. rebeaud
300,https://doi.org/10.1016/j.matchemphys.2024.129239,A. Redjaïmia,a. redjaimia
301,https://doi.org/10.1016/j.revmed.2024.06.003,A. Renaud,a. renaud
302,https://doi.org/10.1016/j.jhepr.2024.101051,A. Restoux,a. restoux
303,https://doi.org/10.1016/j.jvolgeores.2023.107788,A. Revil,a. revil
304,https://doi.org/10.1016/j.cplett.2024.141079,A. Ricard,a. ricard
305,https://doi.org/10.1016/j.bja.2022.08.033,A. Rigouzzo,a. rigouzzo
306,https://doi.org/10.1016/j.jaip.2024.09.016,A. Robbins,a. robbins
307,https://doi.org/10.1016/j.jfo.2024.104383,A. Rousseau,a. rousseau
308,https://doi.org/10.1016/j.dib.2023.109109,A. Roy,a. roy
309,https://doi.org/10.1111/bju.15915,A. Ruffion,a. ruffion
310,https://doi.org/10.1016/j.mtcomm.2024.108739,A. Rusinek,a. rusinek
311,https://doi.org/10.1002/cpz1.1070,A. S. Jijumon,a. s. jijumon
312,https://doi.org/10.1016/j.jallcom.2024.177871,A. Saboundji,a. saboundji
313,https://doi.org/10.1016/j.compmedimag.2024.102356,A. Sadikine,a. sadikine
314,https://doi.org/10.1002/jcc.27393,A. Salichon,a. salichon
315,https://doi.org/10.1002/jmri.28947,A. Saltel‐Fulero,a. saltelfulero
316,https://doi.org/10.1111/pde.15036,A. Sanchez,a. sanchez
317,https://doi.org/10.1111/bjh.19556,A. Santin,a. santin
318,https://doi.org/10.1111/srt.13891,A. Saussine,a. saussine
319,https://doi.org/10.1002/pssr.202300341,A. Savoyant,a. savoyant
320,https://doi.org/10.1016/j.aop.2024.169688,A. Scalesi,a. scalesi
321,https://doi.org/10.1016/j.esmoop.2024.103644,A. Scherpereel,a. scherpereel
322,https://doi.org/10.1016/j.annder.2024.103336,A. Schoeffler,a. schoeffler
323,https://doi.org/10.1016/j.jnucmat.2024.154924,A. Semerok,a. semerok
324,https://doi.org/10.1111/bju.16141,A. Serrano,a. serrano
325,https://doi.org/10.1002/clt2.12385,A. Sibéril,a. siberil
326,https://doi.org/10.1016/j.mmm.2024.07.004,A. Sola‐Gazagnes,a. solagazagnes
327,https://doi.org/10.1002/admi.202300955,A. Solignac,a. solignac
328,https://doi.org/10.1016/j.rmed.2024.107606,A. Solomiac,a. solomiac
329,https://doi.org/10.1111/cod.14063,A. Soria,a. soria
330,https://doi.org/10.1016/j.breast.2023.103588,A. Soubieux-Bourbon,a. soubieux-bourbon
331,https://doi.org/10.1002/pssr.202300429,A. Souifi,a. souifi
332,https://doi.org/10.1016/j.revmed.2024.04.002,A. Stab,a. stab
333,https://doi.org/10.1016/j.esmoop.2024.103473,A. Stancu,a. stancu
334,https://doi.org/10.1016/j.esmoop.2024.103968,A. Swalduz,a. swalduz
335,https://doi.org/10.1002/pssr.202400059,A. Thiaville,a. thiaville
336,https://doi.org/10.1016/j.jfluchem.2024.110374,A. Tressaud,a. tressaud
337,https://doi.org/10.1016/j.saa.2024.124414,A. V. Postnikov,a. v. postnikov
338,https://doi.org/10.1111/hiv.13690,A. Vallée,a. vallee
339,https://doi.org/10.1002/ijc.34268,A. Vambergue,a. vambergue
340,https://doi.org/10.1016/j.fjurol.2024.102606,A. Van Hove,a. van hove
341,https://doi.org/10.1002/mop.33812,A. Venouil,a. venouil
342,https://doi.org/10.1016/j.lungcan.2024.107843,A. Vergnenègre,a. vergnenegre
343,https://doi.org/10.1016/j.euros.2024.06.013,A. Vidart,a. vidart
344,https://doi.org/10.1016/j.esmoop.2023.101628,A. Vigier,a. vigier
345,https://doi.org/10.1016/j.annder.2024.103287,A. Villani,a. villani
346,https://doi.org/10.1016/j.tecto.2022.229434,A. W. B. Jacob,a. w. b. jacob
347,https://doi.org/10.1111/cod.14458,A. Weill,a. weill
348,https://doi.org/10.1111/jdv.20232,A. Welfringer‐Morin,a. welfringermorin
349,https://doi.org/10.1016/j.lanepe.2024.101007,A. Werner,a. werner
350,https://doi.org/10.1016/j.bjps.2024.07.046,A. Wetzel,a. wetzel
351,https://doi.org/10.1016/j.conbuildmat.2024.137608,A. Zaoui,a. zaoui
352,https://doi.org/10.1002/aelm.202300085,A. Zimmers,a. zimmers
353,https://doi.org/10.1016/j.annder.2024.103287,A.-C. Cottencin-Charriere,a.-c. cottencin-charriere
